date,loanamt
2019-07-03,438.3039
2019-07-10,438.6489
2019-07-17,439.3867
2019-07-24,439.9483
2019-07-31,440.4498
2019-08-07,441.0983
2019-08-14,441.367
2019-08-21,442.0961
2019-08-28,442.3714
2019-09-04,442.8837
2019-09-11,443.9581
2019-09-18,444.5009
2019-09-25,444.9214
2019-10-02,446.3768
2019-10-09,446.8018
2019-10-16,447.0355
2019-10-23,447.7534
2019-10-30,448.2627
2019-11-06,448.7566
2019-11-13,448.9867
2019-11-20,449.4047
2019-11-27,450.0821
2019-12-04,450.3985
2019-12-11,451.0881
2019-12-18,450.1266
2019-12-25,450.5507
2020-01-01,451.458
2020-01-08,452.2082
2020-01-15,452.935
2020-01-22,453.4675
2020-01-29,454.2197
2020-02-05,454.7992
2020-02-12,454.9511
2020-02-19,455.1964
