series_id,year,period,value,footnote_codes
CES0000000026,1964,M02,166,
CES0000000026,1964,M03,179,
CES0000000026,1964,M04,145,
CES0000000026,1964,M05,112,
CES0000000026,1964,M06,107,
CES0000000026,1964,M07,163,
CES0000000026,1964,M08,177,
CES0000000026,1964,M09,228,
CES0000000026,1964,M10,127,
CES0000000026,1964,M11,200,
CES0000000026,1964,M12,173,
CES0000000026,1965,M01,263,
CES0000000026,1965,M02,194,
CES0000000026,1965,M03,194,
CES0000000026,1965,M04,226,
CES0000000026,1965,M05,230,
CES0000000026,1965,M06,229,
CES0000000026,1965,M07,235,
CES0000000026,1965,M08,246,
CES0000000026,1965,M09,267,
CES0000000026,1965,M10,251,
CES0000000026,1965,M11,256,
CES0000000026,1965,M12,277,
CES0000000026,1966,M01,270,
CES0000000026,1966,M02,267,
CES0000000026,1966,M03,290,
CES0000000026,1966,M04,303,
CES0000000026,1966,M05,305,
CES0000000026,1966,M06,306,
CES0000000026,1966,M07,288,
CES0000000026,1966,M08,265,
CES0000000026,1966,M09,177,
CES0000000026,1966,M10,184,
CES0000000026,1966,M11,171,
CES0000000026,1966,M12,185,
CES0000000026,1967,M01,184,
CES0000000026,1967,M02,137,
CES0000000026,1967,M03,110,
CES0000000026,1967,M04,20,
CES0000000026,1967,M05,64,
CES0000000026,1967,M06,73,
CES0000000026,1967,M07,141,
CES0000000026,1967,M08,174,
CES0000000026,1967,M09,138,
CES0000000026,1967,M10,112,
CES0000000026,1967,M11,187,
CES0000000026,1967,M12,245,
CES0000000026,1968,M01,193,
CES0000000026,1968,M02,171,
CES0000000026,1968,M03,132,
CES0000000026,1968,M04,251,
CES0000000026,1968,M05,146,
CES0000000026,1968,M06,203,
CES0000000026,1968,M07,190,
CES0000000026,1968,M08,226,
CES0000000026,1968,M09,193,
CES0000000026,1968,M10,198,
CES0000000026,1968,M11,218,
CES0000000026,1968,M12,255,
CES0000000026,1969,M01,239,
CES0000000026,1969,M02,238,
CES0000000026,1969,M03,219,
CES0000000026,1969,M04,211,
CES0000000026,1969,M05,210,
CES0000000026,1969,M06,244,
CES0000000026,1969,M07,219,
CES0000000026,1969,M08,227,
CES0000000026,1969,M09,93,
CES0000000026,1969,M10,131,
CES0000000026,1969,M11,26,
CES0000000026,1969,M12,109,
CES0000000026,1970,M01,18,
CES0000000026,1970,M02,73,
CES0000000026,1970,M03,70,
CES0000000026,1970,M04,57,
CES0000000026,1970,M05,-60,
CES0000000026,1970,M06,-141,
CES0000000026,1970,M07,-98,
CES0000000026,1970,M08,-62,
CES0000000026,1970,M09,-28,
CES0000000026,1970,M10,-177,
CES0000000026,1970,M11,-176,
CES0000000026,1970,M12,-51,
CES0000000026,1971,M01,115,
CES0000000026,1971,M02,133,
CES0000000026,1971,M03,23,
CES0000000026,1971,M04,57,
CES0000000026,1971,M05,147,
CES0000000026,1971,M06,131,
CES0000000026,1971,M07,93,
CES0000000026,1971,M08,42,
CES0000000026,1971,M09,120,
CES0000000026,1971,M10,109,
CES0000000026,1971,M11,158,
CES0000000026,1971,M12,165,
CES0000000026,1972,M01,266,
CES0000000026,1972,M02,267,
CES0000000026,1972,M03,278,
CES0000000026,1972,M04,240,
CES0000000026,1972,M05,274,
CES0000000026,1972,M06,271,
CES0000000026,1972,M07,182,
CES0000000026,1972,M08,224,
CES0000000026,1972,M09,169,
CES0000000026,1972,M10,322,
CES0000000026,1972,M11,277,
CES0000000026,1972,M12,335,
CES0000000026,1973,M01,314,
CES0000000026,1973,M02,347,
CES0000000026,1973,M03,339,
CES0000000026,1973,M04,279,
CES0000000026,1973,M05,211,
CES0000000026,1973,M06,201,
CES0000000026,1973,M07,153,
CES0000000026,1973,M08,173,
CES0000000026,1973,M09,130,
CES0000000026,1973,M10,231,
CES0000000026,1973,M11,251,
CES0000000026,1973,M12,252,
CES0000000026,1974,M01,164,
CES0000000026,1974,M02,111,
CES0000000026,1974,M03,88,
CES0000000026,1974,M04,94,
CES0000000026,1974,M05,98,
CES0000000026,1974,M06,103,
CES0000000026,1974,M07,85,
CES0000000026,1974,M08,23,
CES0000000026,1974,M09,2,
CES0000000026,1974,M10,-2,
CES0000000026,1974,M11,-118,
CES0000000026,1974,M12,-319,
CES0000000026,1975,M01,-446,
CES0000000026,1975,M02,-449,
CES0000000026,1975,M03,-335,
CES0000000026,1975,M04,-278,
CES0000000026,1975,M05,-98,
CES0000000026,1975,M06,-42,
CES0000000026,1975,M07,103,
CES0000000026,1975,M08,176,
CES0000000026,1975,M09,236,
CES0000000026,1975,M10,257,
CES0000000026,1975,M11,177,
CES0000000026,1975,M12,263,
CES0000000026,1976,M01,321,
CES0000000026,1976,M02,377,
CES0000000026,1976,M03,344,
CES0000000026,1976,M04,263,
CES0000000026,1976,M05,165,
CES0000000026,1976,M06,109,
CES0000000026,1976,M07,85,
CES0000000026,1976,M08,131,
CES0000000026,1976,M09,172,
CES0000000026,1976,M10,121,
CES0000000026,1976,M11,179,
CES0000000026,1976,M12,185,
CES0000000026,1977,M01,260,
CES0000000026,1977,M02,249,
CES0000000026,1977,M03,314,
CES0000000026,1977,M04,346,
CES0000000026,1977,M05,367,
CES0000000026,1977,M06,366,
CES0000000026,1977,M07,369,
CES0000000026,1977,M08,329,
CES0000000026,1977,M09,348,
CES0000000026,1977,M10,322,
CES0000000026,1977,M11,366,
CES0000000026,1977,M12,293,
CES0000000026,1978,M01,265,
CES0000000026,1978,M02,258,
CES0000000026,1978,M03,350,
CES0000000026,1978,M04,523,
CES0000000026,1978,M05,520,
CES0000000026,1978,M06,497,
CES0000000026,1978,M07,347,
CES0000000026,1978,M08,325,
CES0000000026,1978,M09,224,
CES0000000026,1978,M10,251,
CES0000000026,1978,M11,303,
CES0000000026,1978,M12,350,
CES0000000026,1979,M01,284,
CES0000000026,1979,M02,221,
CES0000000026,1979,M03,269,
CES0000000026,1979,M04,203,
CES0000000026,1979,M05,245,
CES0000000026,1979,M06,210,
CES0000000026,1979,M07,267,
CES0000000026,1979,M08,170,
CES0000000026,1979,M09,73,
CES0000000026,1979,M10,88,
CES0000000026,1979,M11,91,
CES0000000026,1979,M12,115,
CES0000000026,1980,M01,106,
CES0000000026,1980,M02,103,
CES0000000026,1980,M03,107,
CES0000000026,1980,M04,16,
CES0000000026,1980,M05,-154,
CES0000000026,1980,M06,-298,
CES0000000026,1980,M07,-336,
CES0000000026,1980,M08,-107,
CES0000000026,1980,M09,37,
CES0000000026,1980,M10,217,
CES0000000026,1980,M11,216,
CES0000000026,1980,M12,243,
CES0000000026,1981,M01,181,
CES0000000026,1981,M02,119,
CES0000000026,1981,M03,89,
CES0000000026,1981,M04,83,
CES0000000026,1981,M05,64,
CES0000000026,1981,M06,93,
CES0000000026,1981,M07,106,
CES0000000026,1981,M08,90,
CES0000000026,1981,M09,-4,
CES0000000026,1981,M10,-74,
CES0000000026,1981,M11,-131,
CES0000000026,1981,M12,-194,
CES0000000026,1982,M01,-272,
CES0000000026,1982,M02,-203,
CES0000000026,1982,M03,-154,
CES0000000026,1982,M04,-138,
CES0000000026,1982,M05,-152,
CES0000000026,1982,M06,-190,
CES0000000026,1982,M07,-210,
