date,gdp
2015-06-01,18219.405
2015-09-01,18344.713
2015-12-01,18350.825
2016-03-01,18424.283
2016-06-01,18637.253
2016-09-01,18806.743
2016-12-01,18991.883
2017-03-01,19190.431
2017-06-01,19356.649
2017-09-01,19611.704
2017-12-01,19918.91
2018-03-01,20163.159
2018-06-01,20510.177
2018-09-01,20749.752
2018-12-01,20897.804
2019-03-01,21098.827
2019-06-01,21340.267
2019-09-01,21542.54
2019-12-01,21734.266
