,householdDebt,householdDebtTril,caseShillerIndex,cpi,fed10YearYield,fed30YearYield,fed3MonthYield,ppi,gdp,consumerRent,unemploymentRate,medianHomePrice,german10Yr
56,11.341,1.1341E+13,145.506,231.221,1.72,2.88,0.07,201.5,16358.863,270.565,7.9,251700,1.3
57,11.231,1.1231E+13,149.957,232.282,1.96,3.16,0.09,204,16569.591,272.07,7.5,258400,1.35
58,11.153,1.1153E+13,154.203,232.445,2.3,3.4,0.05,204.3,16637.926,273.762,7.5,268100,1.53
59,11.28,1.128E+13,158.235,233.544,2.81,3.79,0.02,203.9,16848.748,275.375,7.2,264800,1.89
60,11.521,1.1521E+13,160.994,234.719,2.9,3.89,0.07,202,17083.137,277.385,6.7,273600,1.8
61,11.65,1.165E+13,163.11,236.028,2.72,3.62,0.05,207,17104.555,279.463,6.7,275200,1.51
62,11.632,1.1632E+13,164.058,237.231,2.6,3.42,0.04,208.3,17432.909,281.426,6.1,288000,1.26
63,11.71,1.171E+13,165.908,237.477,2.53,3.26,0.02,206.4,17721.657,283.405,5.9,281000,0.92
64,11.827,1.1827E+13,168.079,236.252,2.21,2.83,0.03,197,17849.912,285.343,5.6,298900,0.59
65,11.851,1.1851E+13,169.868,235.976,2.04,2.63,0.03,191.5,17984.178,287.736,5.4,289200,0.23
66,11.853,1.1853E+13,171.466,237.657,2.36,3.11,0.02,194.8,18219.405,289.874,5.3,289100,0.79
67,12.065,1.2065E+13,173.84,237.498,2.17,2.95,0.02,189.1,18344.713,292.435,5,295800,0.65
68,12.116,1.2116E+13,176.602,237.761,2.24,2.97,0.23,183.5,18350.825,294.565,5,302500,0.55
69,12.252,1.2252E+13,178.261,237.99,1.89,2.68,0.3,182.1,18424.283,297.022,5,299800,0.17
70,12.287,1.2287E+13,180.085,240.144,1.64,2.45,0.27,187.6,18637.253,299.933,4.9,306000,-0.02
71,12.35,1.235E+13,182.85,241.068,1.63,2.35,0.29,186.9,18806.743,302.533,5,303800,-0.09
72,12.576,1.2576E+13,185.796,242.712,2.49,3.11,0.51,188.2,18991.883,305.319,4.7,310900,0.25
73,12.725,1.2725E+13,188.211,243.721,2.48,3.08,0.75,191.5,19190.431,307.411,4.4,313100,0.35
74,12.839,1.2839E+13,190.562,244.179,2.19,2.8,1,193.6,19356.649,309.738,4.3,318200,0.25
75,12.955,1.2955E+13,193.794,246.445,2.2,2.78,1.05,194.8,19611.704,312.381,4.2,320500,0.35
76,13.148,1.3148E+13,197.201,247.847,2.4,2.77,1.34,196.3,19918.91,315.168,4.1,337900,0.3
77,13.211,1.3211E+13,200.347,249.413,2.84,3.09,1.73,199.3,20163.159,317.722,4,331800,0.53
78,13.293,1.3293E+13,202.411,251.176,2.91,3.05,1.94,204.2,20510.177,320.277,4,315600,0.33
79,13.512,1.3512E+13,204.383,252.261,3,3.15,2.17,203.6,20749.752,322.703,3.7,330900,0.37
80,13.544,1.3544E+13,206.087,252.653,2.83,3.1,2.41,201,20897.804,325.292,3.9,322800,0.19
81,13.668,1.3668E+13,207.675,254.095,2.57,2.98,2.45,200.8,21098.827,328.52,3.8,313000,0.01
82,13.86,1.386E+13,209.025,255.402,2.07,2.57,2.22,200.3,21340.267,331.59,3.7,322500,-0.31
83,13.952,1.3952E+13,210.932,256.593,1.7,2.16,1.93,198.4,21542.54,334.164,3.5,318400,-0.59
84,14.145,1.4145E+13,213.789,258.444,1.86,2.3,1.57,199.2,21734.266,335.958,3.5,324500,-0.3
