date,indexvalue
2/1/2008,171.544
3/1/2008,170.057
4/1/2008,168.341
5/1/2008,166.664
6/1/2008,165.025
7/1/2008,163.576
8/1/2008,162
9/1/2008,160.318
10/1/2008,158.334
11/1/2008,156.146
12/1/2008,153.623
1/1/2009,151.512
2/1/2009,150.02
3/1/2009,148.666
4/1/2009,147.956
5/1/2009,147.702
6/1/2009,148.095
7/1/2009,148.412
8/1/2009,148.276
9/1/2009,148.024
10/1/2009,147.851
11/1/2009,148.138
12/1/2009,147.935
1/1/2010,147.394
2/1/2010,145.632
3/1/2010,145.857
4/1/2010,146.398
5/1/2010,146.388
6/1/2010,145.714
7/1/2010,144.983
8/1/2010,143.906
9/1/2010,143.011
10/1/2010,142.526
11/1/2010,142.172
12/1/2010,142.061
1/1/2011,141.526
2/1/2011,140.354
3/1/2011,139.981
4/1/2011,140.004
5/1/2011,139.895
6/1/2011,139.852
7/1/2011,139.724
8/1/2011,139.302
9/1/2011,138.66
10/1/2011,137.942
11/1/2011,137.141
12/1/2011,136.665
1/1/2012,136.604
2/1/2012,136.534
3/1/2012,137.909
4/1/2012,139.158
5/1/2012,140.156
6/1/2012,141.027
7/1/2012,141.665
8/1/2012,142.275
9/1/2012,142.907
10/1/2012,143.604
11/1/2012,144.59
12/1/2012,145.506
1/1/2013,146.835
2/1/2013,147.775
3/1/2013,149.957
4/1/2013,151.522
5/1/2013,152.861
6/1/2013,154.203
7/1/2013,155.612
8/1/2013,156.978
9/1/2013,158.235
10/1/2013,159.244
11/1/2013,160.07
12/1/2013,160.994
1/1/2014,161.958
2/1/2014,162.544
3/1/2014,163.11
4/1/2014,163.42
5/1/2014,163.684
6/1/2014,164.058
7/1/2014,164.57
8/1/2014,165.213
9/1/2014,165.908
10/1/2014,166.65
11/1/2014,167.351
12/1/2014,168.079
1/1/2015,168.713
2/1/2015,169.195
3/1/2015,169.868
4/1/2015,170.359
5/1/2015,170.924
6/1/2015,171.466
7/1/2015,172.119
8/1/2015,172.935
9/1/2015,173.84
10/1/2015,174.82
11/1/2015,175.784
12/1/2015,176.602
1/1/2016,177.374
2/1/2016,177.741
3/1/2016,178.261
4/1/2016,178.853
5/1/2016,179.484
6/1/2016,180.085
7/1/2016,180.821
8/1/2016,181.85
9/1/2016,182.85
10/1/2016,183.808
11/1/2016,184.829
12/1/2016,185.796
1/1/2017,186.958
2/1/2017,187.488
3/1/2017,188.211
4/1/2017,188.951
5/1/2017,189.775
6/1/2017,190.562
7/1/2017,191.449
8/1/2017,192.673
9/1/2017,193.794
10/1/2017,194.88
11/1/2017,196.012
12/1/2017,197.201
1/1/2018,198.472
2/1/2018,199.461
3/1/2018,200.347
4/1/2018,201.091
5/1/2018,201.758
6/1/2018,202.411
7/1/2018,202.954
8/1/2018,203.705
9/1/2018,204.383
10/1/2018,205.189
11/1/2018,205.702
12/1/2018,206.087
1/1/2019,206.664
2/1/2019,207.105
3/1/2019,207.675
4/1/2019,208.281
5/1/2019,208.735
6/1/2019,209.025
7/1/2019,209.391
8/1/2019,210.138
9/1/2019,210.932
10/1/2019,211.801
11/1/2019,212.801
12/1/2019,213.789
