state,Q4_2003,Q4_2004,Q4_2005,Q4_2006,Q4_2007,Q4_2008,Q4_2009,Q4_2010,Q4_2011,Q4_2012,Q4_2013,Q4_2014,Q4_2015,Q4_2016,Q4_2017,Q4_2018,Q4_2019
LA,6.599999905,7.539999962,5.28000021,10.89000034,10.56000042,11.56000042,12.35000038,13.39000034,12.14999962,17.13999939,15.43999958,14.88000011,14.56999969,12.52999973,13.13,15.20,14.72
MA,4.309999943,4.21999979,4.039999962,4.909999847,5.800000191,5.46999979,6,6.230000019,6.679999828,8.770000458,8.779999733,8.630000114,8.140000343,7.840000153,7.04,7.58,7.14
MD,6,5.889999866,6.690000057,7.210000038,7.889999866,7.829999924,8.649999619,8.989999771,8.770000458,12.18000031,10.94999981,11.17000008,10.52999973,10.67000008,10.47,10.37,10.01
ME,4.980000019,4.789999962,5.949999809,5.880000114,6.889999866,6.800000191,7.539999962,8.430000305,8.390000343,11.67000008,12.15999985,12.21000004,11.21000004,10.44999981,9.12,9.91,8.50
MI,5.199999809,5.550000191,6.829999924,7.130000114,7.320000172,7.380000114,7.710000038,8.140000343,8.350000381,11.80000019,11.26000023,10.77999973,11.90999985,11.90999985,12.29,12.23,11.99
MN,4.590000153,4.119999886,3.5,4.150000095,4.059999943,5.079999924,5.650000095,5.900000095,5.679999828,8.68999958,8.079999924,8.449999809,8.539999962,8.119999886,9.07,9.26,9.19
MO,5.699999809,6.849999905,7.53000021,6.900000095,7.409999847,7.409999847,8.180000305,8.68999958,8.100000381,11.27000046,11.68999958,11.39000034,12.67000008,13.93000031,13.40,12.63,12.13
MS,6.239999771,9.100000381,5.239999771,11.18000031,10.72999954,10.46000004,12.01000023,12,11.97000027,16.23999977,15.65999985,15.98999977,16.34000015,15.39999962,16.69,18.34,15.37
MT,10.60999966,9.840000153,9.760000229,8.029999733,6.670000076,6.190000057,7.260000229,6.71999979,6.449999809,9.550000191,11.35999966,11.43000031,11.40999985,12.15999985,10.30,10.49,9.31
NC,7.789999962,6.400000095,7.099999905,7.449999809,8.210000038,7.949999809,8.760000229,9.609999657,8.670000076,12.52000046,12.03999996,12.06000042,11.80000019,10.56999969,12.45,10.42,12.63
ND,3.130000114,3.25,3.630000114,5.920000076,4.960000038,5.03000021,4.900000095,4.760000229,5.96999979,8.300000191,8.300000191,7.960000038,7.989999771,8.970000267,7.27,8.54,7.85
NE,5.21999979,4.690000057,5.539999962,5.289999962,5.550000191,5.769999981,7.949999809,7.159999847,6.699999809,8.890000343,8.960000038,8.800000191,8.229999542,8.449999809,8.23,9.24,9.25
NH,5.099999905,4.480000019,5.889999866,7.320000172,7.239999771,7.699999809,8.869999886,7.949999809,6.760000229,9.350000381,9.659999847,8.869999886,9.390000343,8.550000191,8.79,8.00,8.57
NJ,5.28000021,4.309999943,4.659999847,4.900000095,4.880000114,5.480000019,6.190000057,6.670000076,7.21999979,9.409999847,10.48999977,9.090000153,8.949999809,8.649999619,8.96,8.57,8.48
NM,7.96999979,7.300000191,8.100000381,9.159999847,9.909999847,10.69999981,12.14000034,11.97000027,9.909999847,14.60000038,14.53999996,16.28000069,15.43000031,16.04999924,13.77,15.21,13.78
NV,7.789999962,7.670000076,9.079999924,9.739999771,11.06999969,11.22999954,12.85000038,14.22999954,10.94999981,14.80000019,13.97999954,13.57999992,13.52000046,13.63000011,14.39,14.27,13.63
NY,6.400000095,6.619999886,6.710000038,5.760000229,5.989999771,6.320000172,6.940000057,7.409999847,7.260000229,9.819999695,9.949999809,9.449999809,9.159999847,9.069999695,8.76,8.61,8.47
OH,6.139999866,5.980000019,6.110000134,6.28000021,6.46999979,6.989999771,7.730000019,8.029999733,8.369999886,11.89000034,11.48999977,11.02000046,12.30000019,12.94999981,13.19,13.31,12.06
OK,5.369999886,7.789999962,10.56000042,10.44999981,10.56999969,10.14999962,11.34000015,12.48999977,11.52999973,14.98999977,14.14000034,14.89000034,14.80000019,14.03999996,15.08,15.63,15.18
OR,5.079999924,5.849999905,6.650000095,6.139999866,7.070000172,7.159999847,8.649999619,8.93999958,7.179999828,10.82999992,10.97000027,11.5,12.32999992,11.21000004,11.45,11.67,11.24
PA,6.159999847,6.139999866,6.210000038,6.110000134,6.230000019,6.599999905,7.159999847,7.730000019,7.820000172,10.61999989,10.03999996,9.710000038,10.21000004,10.21000004,10.75,10.60,10.12
PR,10.56000042,8.789999962,10.42000008,10.47999954,10.11999989,10.10999966,10.93999958,12.65999985,12.18999958,16.69000053,16.29999924,17.20999908,14.93000031,14.72999954,,,
